인타입,매체,월,영역,소재,보종
A_kpaB101,카카오페이,1월,혜택A,소재 A,실비보험
A_kpaB010,카카오페이,1월,혜택A,소재 B,실비보험
A_kpaB019,카카오페이,1월,혜택A,소재 C,실비보험
A_kpaB102,카카오페이,1월,TMS,소재 A,실비보험
A_kpaB020,카카오페이,1월,TMS,소재 B,실비보험
A_sktB101,T맴버십,1월,PUSH,소재 A,실비보험
A_sktB109,T맴버십,1월,PUSH,소재 B,실비보험
A_sktB102,T맴버십,1월,미션탭,소재 A,실비보험
A_sktB020,T맴버십,1월,미션탭,소재 B,실비보험
A_gasB101,가스락,1월,홈 토스트 배너,소재 A,실비보험
A_gasB010,가스락,1월,홈 토스트 배너,소재 B,실비보험
A_gasB102,가스락,1월,홈 참여형 리스트 배너,소재 A,실비보험
A_gasB020,가스락,1월,홈 참여형 리스트 배너,소재 B,실비보험
A_gasB103,가스락,1월,서브 텍스트 배너,소재 A,실비보험
A_gasB030,가스락,1월,서브 텍스트 배너,소재 B,실비보험
A_gasB104,가스락,1월,혜택 상단 배너,소재 A,실비보험
A_gasB040,가스락,1월,혜택 상단 배너,소재 B,실비보험
A_gasB105,가스락,1월,서브 참여형 리스트 배너,소재 A,실비보험
A_gasB050,가스락,1월,서브 참여형 리스트 배너,소재 B,실비보험
A_pasB101,KT PASS,1월,PUSH,소재 A,실비보험
A_pasB010,KT PASS,1월,PUSH,소재 B,실비보험
A_pasB102,KT PASS,1월,하단배너,소재 A,실비보험
A_pasB020,KT PASS,1월,하단배너,소재 B,실비보험
A_kpaB201,카카오페이,2월,혜택A,소재 A,실비보험
A_kpaB209,카카오페이,2월,혜택A,소재 B,실비보험
A_kpaB202,카카오페이,2월,TMS,소재 A,실비보험
A_kpaB020,카카오페이,2월,TMS,소재 B,실비보험
A_sktB201,T맴버십,2월,PUSH,소재 A,실비보험
A_sktB209,T맴버십,2월,PUSH,소재 B,실비보험
A_sktB202,T맴버십,2월,미션탭,소재 A,실비보험
A_sktB020,T맴버십,2월,미션탭,소재 B,실비보험
A_swcB201,스웨치,2월,하프뷰,소재 A,실비보험
A_gasB010,가스락,2월,홈 토스트 배너,소재 A,실비보험
A_gasB020,가스락,2월,홈 참여형 리스트 배너,소재 A,실비보험
A_gasB030,가스락,2월,서브 텍스트 배너,소재 A,실비보험
A_gasB040,가스락,2월,혜택 상단 배너,소재 A,실비보험
A_gasB050,가스락,2월,서브 참여형 리스트 배너,소재 A,실비보험
A_pasB010,KT PASS,2월,PUSH,소재 A,실비보험
A_pasB201,KT PASS,2월,PUSH,소재 A,실비보험
A_pasB020,KT PASS,2월,하단배너,소재 A,실비보험
A_pasB202,KT PASS,2월,하단배너,소재 A,실비보험
A_kpaB301,카카오페이,3월,혜택A,소재 A,실비보험
